id,driver_id,vehicle_id,officer_id,camera_id,road_id,ai_detection_log_id,violation_type,observed_action,detected_sign_code,detected_class_key,violation_date,location,description,officer_note,dismissal_reason,ai_confidence_score,plate_detected,status,bbox_coords,created_at,updated_at
fd426442-60f0-4ea6-bd1c-803e73a60e26,9220006a-8943-4fed-97de-0804c0078e1e,b7d408b0-a438-4fc5-ad1f-2c21908621a2,,6b144098-b2b4-4e41-a319-1010a121fd02,c0d5c361-e4b2-4904-a539-e83a9a67ce7e,a9e51fee-0735-4287-9404-2972f99fdc0b,NO_PARKING,stopping,,,2026-07-27T12:00:00Z,"Monivong / Russian, Phnom Penh",Synthetic private enforcement record based on real location context.,,,82.65,PP-3000,confirmed,{},2026-07-27T12:00:00Z,2026-07-27T12:00:00Z
696e9f3f-36f4-4199-96c8-9621ca14e3ed,844d16c0-24c7-45b6-b334-29b1c2118743,cf440eea-064b-4450-a152-bf7bf90aaf1a,,497e5324-da80-472d-abb9-cd9abe370617,54f26c92-a002-4ca9-8444-058947517efe,023439dc-4c52-45f8-bba9-ac69655b6e11,NO_STOPPING,left_turn,,,2026-07-27T11:43:00Z,"Russian / Monivong, Phnom Penh",Synthetic private enforcement record based on real location context.,,,80.23,PP-3001,confirmed,{},2026-07-27T11:43:00Z,2026-07-27T11:43:00Z
df4ad0f8-f7a5-446c-8fa1-d82a55dd059a,c9cd539a-3578-4c6e-8612-7523587e6899,e10ba921-8380-4493-b945-5ec9a2fcbe59,,d644ddc0-7007-48d3-b685-1d7c38571f63,03b28b95-1279-4cf4-ba13-755929a63ed1,8356b8d6-7527-4251-891c-bc7fc41d75c3,ILLEGAL_RIGHT_TURN,stopping,,,2026-07-27T11:26:00Z,"Monivong / Charles de Gaulle, Phnom Penh",Synthetic private enforcement record based on real location context.,,,91.89,PP-3002,confirmed,{},2026-07-27T11:26:00Z,2026-07-27T11:26:00Z
b8ae54b7-7cc3-4cb3-8b8e-9963e925e0c9,bbf384f9-c063-4696-815d-1f1422346df9,2c308831-f526-47a1-9018-6c8a831a9fb0,,b43f9a6f-3151-4fc8-a461-5a541ffe689a,4c58fa6f-7dc0-4603-8780-566ce92f9b8f,8a0ea3db-4791-4147-9dd9-4fe8ea754488,NO_PARKING,parking,,,2026-07-27T11:09:00Z,"Sihanouk / Monivong, Phnom Penh",Synthetic private enforcement record based on real location context.,,,81.49,PP-3003,confirmed,{},2026-07-27T11:09:00Z,2026-07-27T11:09:00Z
da391511-e40d-427d-a21f-c7feee55d49e,186d30a8-6535-410c-bacc-a83a31f7434c,1de43c52-8ece-40f6-bdd2-9c40c90becd0,,2818bece-13c9-4d83-a44e-4fd69ea8e065,8f620d49-30df-4be5-861f-90dbdf5a04d9,e92c8037-2ddc-439f-ae77-32499e8a34b5,NO_PARKING,right_turn,,,2026-07-27T10:52:00Z,"Monireth / Charles de Gaulle, Phnom Penh",Synthetic private enforcement record based on real location context.,,,95.2,PP-3004,draft,{},2026-07-27T10:52:00Z,2026-07-27T10:52:00Z
68803da7-5c9b-4b51-a614-f5da287e13d3,9348cb7c-72c4-4462-ab71-93d0d0243c35,2c415e8e-27ca-4e7d-9bf6-ab47c3ce3cd3,,80db431f-bd54-4a4f-88a1-292540df6f9b,7aa99d7d-c1fb-4321-9fb8-83494a5a691c,9bc1a181-721f-4793-82ce-a89896cbdf2f,ILLEGAL_RIGHT_TURN,u_turn,,,2026-07-27T10:35:00Z,"Monivong / Sihanouk, Phnom Penh",Synthetic private enforcement record based on real location context.,,,84.96,PP-3005,pending_review,{},2026-07-27T10:35:00Z,2026-07-27T10:35:00Z
45ec51fd-40ba-48b3-b536-cafe1c524178,001a5ba2-c125-4647-9059-827c3f4b213f,71da3a8a-d7b8-4320-9ac2-bb1afaab7dd0,,c51cb0fd-1fda-4f51-a89e-c4ce523f70d0,e208de88-616f-4088-bd0e-64afdd5855de,a25fb157-5fa4-4642-89e8-3d5fc895c4e4,NO_ENTRY,u_turn,,,2026-07-27T10:18:00Z,"Norodom / Mao Tse Toung, Phnom Penh",Synthetic private enforcement record based on real location context.,,,83.31,PP-3006,pending_review,{},2026-07-27T10:18:00Z,2026-07-27T10:18:00Z
935c74ad-1526-48a7-802f-52de27cdbac1,9ae78188-28b7-4e0d-ae0c-f438f094818f,e162634c-51fa-4d68-930f-2fcf555bcbb1,,a7123e6c-4955-4f51-b04d-02801cffa06a,f0611c4e-c6a9-4148-829b-f2e58fb270fa,d942c8bd-3802-4748-b54a-ea21293dfd46,ILLEGAL_RIGHT_TURN,parking,,,2026-07-27T10:01:00Z,"Mao Tse Toung / Monivong, Phnom Penh",Synthetic private enforcement record based on real location context.,,,90.1,PP-3007,draft,{},2026-07-27T10:01:00Z,2026-07-27T10:01:00Z
7eb5ab94-f997-4044-8f1c-814ff7291d6b,add10db0-7fcc-4d48-b8e7-5997e17b3871,e59ca6bb-eb9d-435d-9742-3723c851d87d,,497445e3-923e-4a6a-abf1-d897eb0db53d,89882834-b82c-4a38-b38c-bcceb2f51619,5e5a02d3-9482-4479-882c-eb9776f70d92,ILLEGAL_LEFT_TURN,right_turn,,,2026-07-27T09:44:00Z,"Russian / Toul Kok, Phnom Penh",Synthetic private enforcement record based on real location context.,,,87.94,PP-3008,confirmed,{},2026-07-27T09:44:00Z,2026-07-27T09:44:00Z
57e4d26c-a120-4f86-a085-b376c84d9b86,d21fb78b-c5cf-43dd-b14b-b4d14018870e,0af8d89c-d057-408f-bae7-fce4b506c768,,bb8d184b-ab5b-4fc6-bae3-381191779671,756d6b4a-0ee8-467e-9904-bd27b718aad6,425d0eae-6567-481c-b7c8-2dd23ae70ed1,ILLEGAL_RIGHT_TURN,entry,,,2026-07-27T09:27:00Z,"Street 221 / Russian Boulevard, Phnom Penh",Synthetic private enforcement record based on real location context.,,,79.23,PP-3009,pending_review,{},2026-07-27T09:27:00Z,2026-07-27T09:27:00Z
d489edd6-714c-43e0-80c8-8cf8654d357a,0dcbe57d-a4c7-4f89-95bc-d692b07480b8,050c3ed6-2b71-48bf-a9db-32cfc0dc48d4,,7b1780ee-3663-4f23-9100-b1dc5e42b966,70a63383-a231-4894-a8e0-fdc0bde57b01,bd02d12a-514a-4370-9686-7f37f85d6ba5,ILLEGAL_RIGHT_TURN,stopping,,,2026-07-27T09:10:00Z,"Monivong / Street 214, Phnom Penh",Synthetic private enforcement record based on real location context.,,,88.11,PP-3010,draft,{},2026-07-27T09:10:00Z,2026-07-27T09:10:00Z
303dc3bf-83d3-4682-b1dc-da9520fd57f9,9e2779c1-bf6b-4aa4-9b00-8b0e542b51e9,a1d9c0cb-eaf5-4627-bc86-98a5693f243e,,0fbeff53-3f46-4504-b0db-f5ac52e2d299,f03d7caa-f26a-4bff-8c92-592f861809f8,0bd31f2e-5120-48da-8289-39d4887648ac,NO_PARKING,u_turn,,,2026-07-27T08:53:00Z,"Norodom / Street 240, Phnom Penh",Synthetic private enforcement record based on real location context.,,,87.55,PP-3011,confirmed,{},2026-07-27T08:53:00Z,2026-07-27T08:53:00Z
6be757b0-210d-462b-9da6-e82602abfcb4,bafbe02d-0082-4f8a-9bf4-7ce70bc275a3,327304c2-b286-412e-8f83-90b4c7cd1380,,d15e0f01-c265-41d4-b566-bd7d0b8e2fd6,9ec4dcb4-d0c3-4524-abf0-7d5c5098c719,65ea9d38-5c48-4f52-a6d6-82067a272c03,ILLEGAL_U_TURN,stopping,,,2026-07-27T08:36:00Z,"Sihanouk / Street 163, Phnom Penh",Synthetic private enforcement record based on real location context.,,,89.23,PP-3012,confirmed,{},2026-07-27T08:36:00Z,2026-07-27T08:36:00Z
87edb6f3-e834-4c0f-804a-d55731e4b35f,a0575093-6221-4f26-9ced-5bb56126496b,94bd5832-fe72-4540-88cc-eeb12ee9813a,,12752ff4-4b5f-4010-9636-7e4bdd95bd73,509b9252-df0e-45ab-a43b-493989e7c8b2,e033d927-dc70-40d0-b643-1ef9e1c7b49c,NO_PARKING,u_turn,,,2026-07-27T08:19:00Z,"Street 51 / Street 240, Phnom Penh",Synthetic private enforcement record based on real location context.,,,94.17,PP-3013,pending_review,{},2026-07-27T08:19:00Z,2026-07-27T08:19:00Z
416858f9-9f9f-4b12-8a18-29d61014ed47,d3b35018-546a-441f-bad6-72b2a749607e,1001da4f-db71-4618-acb2-b0e40a28a124,,40e456ae-d06f-4193-a705-f782f46c0950,a02c6cb6-0ada-476f-84f6-87f09022cb4e,78ff0e73-b009-4d5d-8341-e78bf2735cb0,NO_PARKING,u_turn,,,2026-07-27T08:02:00Z,"Street 271 / Monivong, Phnom Penh",Synthetic private enforcement record based on real location context.,,,91.76,PP-3014,pending_review,{},2026-07-27T08:02:00Z,2026-07-27T08:02:00Z
8a53d1e2-7c85-43d0-b9a9-a2a53e4238df,fa488835-93e7-453b-9838-befc7fcde69c,b2a3fa3d-569a-485b-8f42-96fc34bd12a4,,ceee7b36-c927-4988-91e0-d756d101f1f9,32c7d3db-a0e7-4ce8-9ccd-b822384c9165,bb2be15c-bed1-41de-80ef-43b004ac3dba,NO_STOPPING,u_turn,,,2026-07-27T07:45:00Z,"Street 178 / Norodom, Phnom Penh",Synthetic private enforcement record based on real location context.,,,89.44,PP-3015,pending_review,{},2026-07-27T07:45:00Z,2026-07-27T07:45:00Z
3adac4e0-4cc8-4573-8122-d1894ac316b0,e13127e2-ce1e-4891-a904-72826413bf2d,2e561407-8904-4c6d-ba6c-47b3f4eefdc0,,f0c5d7a6-7a2b-4b7d-b26a-e60c96cb954a,2163e68c-dc75-4120-b6c5-1835fa5bc5bb,3fe5ceb7-fabd-4480-8399-d99623336a4c,NO_PARKING,entry,,,2026-07-27T07:28:00Z,"Street 240 / Russian Boulevard, Phnom Penh",Synthetic private enforcement record based on real location context.,,,88.3,PP-3016,draft,{},2026-07-27T07:28:00Z,2026-07-27T07:28:00Z
a315e192-35cd-4e86-9b04-f7bd52a5824e,eb634e26-fde2-4737-8f57-53968143ca3b,8a110f83-3085-4676-bc4c-082ea42c19be,,da1c9bd9-0c30-46fb-8d13-5be4b08bbdcf,b4287d6d-0359-4dc9-9a2a-2ebd1b7121ac,2956b7e1-b3aa-46b2-83e9-b7a7e8cbe8e0,NO_STOPPING,entry,,,2026-07-27T07:11:00Z,"Monireth / Mao Tse Toung, Phnom Penh",Synthetic private enforcement record based on real location context.,,,89.67,PP-3017,confirmed,{},2026-07-27T07:11:00Z,2026-07-27T07:11:00Z
6213692d-9c88-4da8-894d-06d5949421e5,56c14bf7-e8db-4e50-8378-686fed9efe80,95860334-5616-4f3e-a76b-cd8d8790734a,,d289288e-28ea-4c22-a9aa-cb755c580e90,9479a649-083f-4bd5-ab87-f8779814ab0f,09b6cf1a-0ae2-4bc3-af68-af284f7c4c90,NO_STOPPING,parking,,,2026-07-27T06:54:00Z,"Monivong / Kbal Thanol Flyover, Phnom Penh",Synthetic private enforcement record based on real location context.,,,92.34,PP-3018,pending_review,{},2026-07-27T06:54:00Z,2026-07-27T06:54:00Z
726c8c9f-467d-4e6c-b0cd-05be20e8533d,f6c6e86e-8ccd-4f4d-8203-9623628f7805,6c9c994a-d897-443d-8c5e-ae03fe9f76e5,,b2b59f4f-1f8a-4e16-b945-86a921c127b3,a0baf562-69fd-4eae-a75c-0e431d52e123,b149322b-9b91-4ae5-8004-2768478108c5,ILLEGAL_LEFT_TURN,stopping,,,2026-07-27T06:37:00Z,"Pet Lok Sang Junction, Phnom Penh",Synthetic private enforcement record based on real location context.,,,79.69,PP-3019,pending_review,{},2026-07-27T06:37:00Z,2026-07-27T06:37:00Z
ade9e5e2-cb0b-4429-b9da-b7d4e201194c,8186999f-bcdb-433d-b0e3-54f6e8f747e1,72f6dc2e-de76-4cdb-aff0-2e44b9e24a66,,d9ffe2b8-bb50-4401-86d3-f0dff0207cf7,27a9fc88-0c0c-40d7-8975-c409926daaf5,25684e7f-6489-45e8-9bc9-c4a7b7a7eae2,ILLEGAL_RIGHT_TURN,stopping,,,2026-07-27T06:20:00Z,"Chaom Chao Road / NR4, Phnom Penh",Synthetic private enforcement record based on real location context.,,,81.52,PP-3020,pending_review,{},2026-07-27T06:20:00Z,2026-07-27T06:20:00Z
4d1573e1-c920-4631-938f-b9c03cca7cb2,12e602b5-78f1-41fb-a357-65b92f9decc7,5e636b18-68de-4716-b2a7-b9d008d31fa5,,f2283631-2bc0-41da-be0d-c4ed28129822,05fbbed6-f316-48df-bcbb-e4cfa5db5447,3d8993ea-54db-4d73-b06a-41bd481fd25f,ILLEGAL_U_TURN,parking,,,2026-07-27T06:03:00Z,"Chaom Chao Road / Hanoi Road, Phnom Penh",Synthetic private enforcement record based on real location context.,,,87.16,PP-3021,confirmed,{},2026-07-27T06:03:00Z,2026-07-27T06:03:00Z
b951cd31-ddae-44c9-97e2-66b9ba7928f9,c82994e6-332e-418b-b1d3-ee064ca45dcd,1976b7a0-d977-4cb4-a2b7-352899f37558,,d2603e17-e1e2-4f37-bcf4-600dfcc7826c,dd0c0d6d-da9c-4dcd-9de2-3a8d791c57fd,a62937fd-988e-4bed-989e-c3a96da20085,NO_ENTRY,parking,,,2026-07-27T05:46:00Z,"Kob Srov Road / NR6, Phnom Penh",Synthetic private enforcement record based on real location context.,,,85.19,PP-3022,draft,{},2026-07-27T05:46:00Z,2026-07-27T05:46:00Z
7312d227-4412-48ea-a5d6-e806aad084d3,acd33c07-2306-4f4f-b71a-6ae96f0e0d85,b4df1b16-08e6-414e-b817-ab6be191aa18,,40f153ea-2e47-42a0-9aac-90e8c9e69466,87645659-eae4-47d0-9199-703ed6046951,5b8d8f35-06f8-44d3-b415-e4e824a50c94,NO_ENTRY,parking,,,2026-07-27T05:29:00Z,"Kob Srov Road / NR4, Phnom Penh",Synthetic private enforcement record based on real location context.,,,82.82,PP-3023,draft,{},2026-07-27T05:29:00Z,2026-07-27T05:29:00Z
2a4adc5e-4213-45b5-9438-219c3c5562f5,0cdbeee8-49ac-43f8-974c-4ef9a40e6cae,2312bbbb-c7eb-48ab-979c-aba88541cf06,,a5185744-96ec-4046-985c-1c72c9694ce1,77998444-b345-41b2-8b71-484461043b24,ea8ec5ec-1ea4-4f9c-98a0-397b360f3d0b,ILLEGAL_RIGHT_TURN,u_turn,,,2026-07-27T05:12:00Z,"Cheung Aek Bypass / NR2, Phnom Penh",Synthetic private enforcement record based on real location context.,,,93.4,PP-3024,draft,{},2026-07-27T05:12:00Z,2026-07-27T05:12:00Z
faa3b030-2404-480d-9775-8bb297490a93,6f7b8b20-f21f-431e-9f2a-1fe724cfe55c,e431ac35-d979-43cd-88a2-1e8a0e916649,,b732c87c-b8fc-4797-90bc-7853732ff7fd,960acc1f-571d-4cda-a645-a751c6135203,301db591-744a-48f1-9bf1-1d5acb93d82a,ILLEGAL_RIGHT_TURN,entry,,,2026-07-27T04:55:00Z,"Russei Kaev Bypass / NR5, Phnom Penh",Synthetic private enforcement record based on real location context.,,,85.05,PP-3025,pending_review,{},2026-07-27T04:55:00Z,2026-07-27T04:55:00Z
0d69aa1e-3b2f-4412-bf67-080e4f467e5a,0d42c32a-9b12-4a13-8abd-9357fc9f6582,4691ee60-8a63-4eb3-9533-cd21d60f69d8,,fd0706dc-06b8-4409-85ac-c5099009a7f9,83a517f5-2368-43d0-b8a9-19356067fe08,c21c5d16-6a7b-4938-9dcf-03e47fb93b4c,NO_ENTRY,entry,,,2026-07-27T04:38:00Z,"C2 / NR1, Phnom Penh",Synthetic private enforcement record based on real location context.,,,96.64,PP-3026,confirmed,{},2026-07-27T04:38:00Z,2026-07-27T04:38:00Z
