id,user_id,uploaded_image,detected_sign,confidence,description,guidance,processing_time,review_status,model_version,detected_vehicles,vehicle_count,detected_plate,plate_confidence,plate_type,plate_ocr_details,matched_vehicle_id,created_at
a9e51fee-0735-4287-9404-2972f99fdc0b,48675819-3ab3-4322-aadb-b1b58038ca7a,ai/uploads/demo_001.jpg,3 lanes merge to 2 lanes from the left,90.25,Detected 3 lanes merge to 2 lanes from the left in Phnom Penh corridor,Follow Cambodian traffic sign rules.,1.69,approved,best.pt,[],2,PP-3000,74.96,private,[],b7d408b0-a438-4fc5-ad1f-2c21908621a2,2026-07-27T12:00:00Z
023439dc-4c52-45f8-bba9-ac69655b6e11,de75014b-ec8e-446b-a1a1-1c66c36db029,ai/uploads/demo_002.jpg,3 lanes merge to 2 lanes from the right,92.54,Detected 3 lanes merge to 2 lanes from the right in Phnom Penh corridor,Follow Cambodian traffic sign rules.,2.02,pending,best.pt,[],1,PP-3001,83.87,private,[],cf440eea-064b-4450-a152-bf7bf90aaf1a,2026-07-27T11:43:00Z
8356b8d6-7527-4251-891c-bc7fc41d75c3,efe7849d-38d4-4ed2-88d2-9f6c4ab36a04,ai/uploads/demo_003.jpg,Abreast travelling permitted for bicycles,85.57,Detected Abreast travelling permitted for bicycles in Phnom Penh corridor,Follow Cambodian traffic sign rules.,0.82,approved,best.pt,[],3,PP-3002,91.62,private,[],e10ba921-8380-4493-b945-5ec9a2fcbe59,2026-07-27T11:26:00Z
8a0ea3db-4791-4147-9dd9-4fe8ea754488,c42c9796-d122-4372-8a5a-240adf88dd2a,ai/uploads/demo_004.jpg,Airports,80.03,Detected Airports in Phnom Penh corridor,Follow Cambodian traffic sign rules.,0.99,pending,best.pt,[],3,PP-3003,85.82,private,[],2c308831-f526-47a1-9018-6c8a831a9fb0,2026-07-27T11:09:00Z
e92c8037-2ddc-439f-ae77-32499e8a34b5,11f9c0b2-16c0-41f0-baec-df905285c938,ai/uploads/demo_005.jpg,Animal drawn carts,89.95,Detected Animal drawn carts in Phnom Penh corridor,Follow Cambodian traffic sign rules.,0.88,pending,best.pt,[],1,PP-3004,91.01,private,[],1de43c52-8ece-40f6-bdd2-9c40c90becd0,2026-07-27T10:52:00Z
9bc1a181-721f-4793-82ce-a89896cbdf2f,f4379a50-8a5e-41c7-8f01-aabdd0cfd366,ai/uploads/demo_006.jpg,Animal drawn carts of all form only,87.6,Detected Animal drawn carts of all form only in Phnom Penh corridor,Follow Cambodian traffic sign rules.,2.03,approved,best.pt,[],2,PP-3005,72.6,private,[],2c415e8e-27ca-4e7d-9bf6-ab47c3ce3cd3,2026-07-27T10:35:00Z
a25fb157-5fa4-4642-89e8-3d5fc895c4e4,5ac529c6-f77b-4ac8-adbf-5cb7d0ad12d5,ai/uploads/demo_007.jpg,Arrow direction exclusive lane,92.66,Detected Arrow direction exclusive lane in Phnom Penh corridor,Follow Cambodian traffic sign rules.,0.97,approved,best.pt,[],2,PP-3006,70.66,private,[],71da3a8a-d7b8-4320-9ac2-bb1afaab7dd0,2026-07-27T10:18:00Z
d942c8bd-3802-4748-b54a-ea21293dfd46,17d24adf-b841-4904-bc1a-e6e9e6d8970d,ai/uploads/demo_008.jpg,Asian Highway route 1,81.83,Detected Asian Highway route 1 in Phnom Penh corridor,Follow Cambodian traffic sign rules.,2.19,pending,best.pt,[],3,PP-3007,92.82,private,[],e162634c-51fa-4d68-930f-2fcf555bcbb1,2026-07-27T10:01:00Z
5e5a02d3-9482-4479-882c-eb9776f70d92,73167a17-d159-40a8-9c56-51368f7df173,ai/uploads/demo_009.jpg,Asian Highway route 11,82.49,Detected Asian Highway route 11 in Phnom Penh corridor,Follow Cambodian traffic sign rules.,1.7,approved,best.pt,[],1,PP-3008,72.13,private,[],e59ca6bb-eb9d-435d-9742-3723c851d87d,2026-07-27T09:44:00Z
425d0eae-6567-481c-b7c8-2dd23ae70ed1,855a6fd5-b341-47be-8920-24093b3b95e1,ai/uploads/demo_010.jpg,Backward,79.02,Detected Backward in Phnom Penh corridor,Follow Cambodian traffic sign rules.,1.09,approved,best.pt,[],3,PP-3009,75.76,private,[],0af8d89c-d057-408f-bae7-fce4b506c768,2026-07-27T09:27:00Z
