id,fine_id,payment_reference,payment_method,amount,payment_status,paid_at,created_at,updated_at
d114b163-c9fa-4c70-bf7b-718f76a38236,3d4072b0-edc1-4c0f-aba3-58f213080ba1,PAY-PP-0001,khqr,30000,completed,2026-07-27T12:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
5c3a40be-33df-4dcf-a094-3bed7bf65e75,ccb30546-e4f3-4ccc-bcc3-36d6128f5359,PAY-PP-0002,bank_transfer,30000,verification,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
8a602a95-f970-4103-9475-185a5eda71b6,aef4da15-f572-4de0-9d04-ec84864bbe67,PAY-PP-0003,khqr,50000,completed,2026-07-27T12:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
0a9ca712-e85f-4e52-a0b1-5ca404982262,f1a39b3d-feaf-4022-bd07-e4d18e1eb72c,PAY-PP-0004,khqr,30000,pending,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
bfdf0912-c01f-40e7-84ff-f1bf5af2fe61,3889c1d8-43f3-46c2-85e4-fa7f3eea829e,PAY-PP-0005,khqr,40000,completed,2026-07-27T12:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
8128e12d-eaff-4864-bb9c-060ae6a45583,443903d6-ebbf-42ec-aeba-c2fee8655373,PAY-PP-0006,khqr,30000,pending,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
8774444f-7b74-49a1-9454-c08e2f489fcc,6a0c1694-d4b9-4e5e-8f3a-81c01b5436eb,PAY-PP-0007,khqr,50000,completed,2026-07-27T12:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
d098ad99-f563-4cdd-92d2-b044ef9b9c36,7b022190-dfd3-413a-ac8f-c14c45db7c73,PAY-PP-0008,bank_transfer,50000,verification,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
c4b9a952-551a-4abc-8bcd-3041eb88fcfb,9d5d4405-cbe9-4924-af7b-cc8c1b521f01,PAY-PP-0009,khqr,20000,completed,2026-07-27T12:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
74242692-a6d5-4518-88b4-52230f837810,df99b845-0883-44bf-9be9-38568e7ddba8,PAY-PP-0010,khqr,30000,verification,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
869ecb6f-e92c-41fa-a9f1-b6045350ebf0,b4280c88-5cf0-4bee-9f31-c02f8d3ac71d,PAY-PP-0011,khqr,40000,completed,2026-07-27T12:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
23f00ade-8211-4fff-ba9c-bde55d4fcd14,aa1a203a-a3ae-4e42-a666-4204a160ca59,PAY-PP-0012,mobile_banking,20000,verification,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
d191f71c-1b52-41d7-942f-0d7f52133fbe,d36438a0-ef9e-4192-9daa-c59c91aefc88,PAY-PP-0013,cash_counter,50000,verification,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
f2a3cde3-4944-4218-8b0b-21613fc2f1fe,83115575-8e0d-40df-813a-37bf2b0b383b,PAY-PP-0014,khqr,50000,verification,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
88abaffb-23aa-4e6a-aad7-b5c3717c8bb1,a3101502-f449-40c6-adea-84c51dda8506,PAY-PP-0015,mobile_banking,50000,verification,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
9bdf9753-f976-43c1-9382-58bc73bc897c,277ea420-bc83-4d61-8280-7f3caa9d958a,PAY-PP-0016,khqr,20000,completed,2026-07-27T12:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
3f2f54b3-47f1-4c2a-b0a6-2247e0a3ff14,06a1de65-5681-4659-a298-8d0c76dbcd9f,PAY-PP-0017,mobile_banking,30000,verification,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
eaf57044-be5b-467a-8f21-145c6a7d1236,d2e2ded9-a08f-4aaf-bb48-00ab0973d2fc,PAY-PP-0018,khqr,40000,completed,2026-07-27T12:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
706bdbc8-62bb-4582-b929-4a3a4d9397e2,0d341d01-35d5-4a94-a99e-9d49c4c8adc0,PAY-PP-0019,khqr,40000,completed,2026-07-27T12:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
f309bead-ccc4-4a2a-ba63-313d790942a4,ee6e3693-d0e1-40fd-ac10-188bc3592d46,PAY-PP-0020,khqr,50000,completed,2026-07-27T12:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
7d9f83b6-b9fa-4c5e-a617-eca905c0738e,4120a02d-a2ab-406a-92a8-3fe307f1994e,PAY-PP-0021,mobile_banking,50000,pending,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
c7f14688-9adb-4a6e-a70e-90c404a371c0,001ddd7c-e879-4f3d-b512-1ef63e93a99d,PAY-PP-0022,khqr,50000,completed,2026-07-27T12:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
f0fbbfe2-84b8-432f-8ab7-44b7accb478e,5f08a054-5b46-40f8-860c-15599ce71541,PAY-PP-0023,khqr,20000,completed,2026-07-27T12:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
69fb1787-8603-4ea3-ab18-e47cdf45ad31,bad18ed0-80a5-4c87-babd-d8545f59da93,PAY-PP-0024,bank_transfer,50000,verification,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
28241ffd-cdab-4913-8722-f1335d8d4469,66f73ed8-b8a4-4edd-bbb3-67784d56fcbe,PAY-PP-0025,khqr,20000,completed,2026-07-27T12:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
ce0ecf0a-9509-4fe8-a86b-15a498e3835f,64bfbe84-6bc3-42b5-acc6-814d1662bd96,PAY-PP-0026,khqr,40000,completed,2026-07-27T12:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
efbeb392-58e2-459c-b68b-5ae7fdf89974,f6567d9d-dc34-4c35-881e-4db2a27da2bb,PAY-PP-0027,cash_counter,30000,pending,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
80787e87-0c05-4588-b143-0dd75d033e94,50580c29-fb08-457d-8c0a-6f246a0e238a,PAY-PP-0028,khqr,30000,completed,2026-07-27T12:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
