split,image,filename_class,label_classes,blur,brightness,width,height,errors,warnings
train,AXLE_WEIGHT_LIMIT_Weight limit on one axle_00.jpg,AXLE_WEIGHT_LIMIT,AXLE_WEIGHT_LIMIT,942.9,202.5,640,640,,
train,AXLE_WEIGHT_LIMIT_Weight limit on one axle_01.jpg,AXLE_WEIGHT_LIMIT,AXLE_WEIGHT_LIMIT,520.0,78.0,640,640,,
train,AXLE_WEIGHT_LIMIT_Weight limit on one axle_02.jpg,AXLE_WEIGHT_LIMIT,AXLE_WEIGHT_LIMIT,753.4,201.7,640,640,,
train,AXLE_WEIGHT_LIMIT_Weight limit on one axle_03.jpg,AXLE_WEIGHT_LIMIT,AXLE_WEIGHT_LIMIT,686.9,201.1,640,640,,
train,AXLE_WEIGHT_LIMIT_Weight limit on one axle_04.jpg,AXLE_WEIGHT_LIMIT,AXLE_WEIGHT_LIMIT,986.2,189.0,640,640,,
train,AXLE_WEIGHT_LIMIT_Weight limit on one axle_05.jpg,AXLE_WEIGHT_LIMIT,AXLE_WEIGHT_LIMIT,454.8,84.2,640,640,,
train,AXLE_WEIGHT_LIMIT_Weight limit on one axle_07.jpg,AXLE_WEIGHT_LIMIT,AXLE_WEIGHT_LIMIT,663.1,87.8,640,640,,
train,AXLE_WEIGHT_LIMIT_Weight limit on one axle_08.jpg,AXLE_WEIGHT_LIMIT,AXLE_WEIGHT_LIMIT,701.2,100.4,640,640,,
train,AXLE_WEIGHT_LIMIT_Weight limit on one axle_09.jpg,AXLE_WEIGHT_LIMIT,AXLE_WEIGHT_LIMIT,765.6,207.5,640,640,,
train,AXLE_WEIGHT_LIMIT_Weight limit on one axle_10.jpg,AXLE_WEIGHT_LIMIT,AXLE_WEIGHT_LIMIT,960.4,176.6,640,640,,
train,AXLE_WEIGHT_LIMIT_Weight limit on one axle_11.jpg,AXLE_WEIGHT_LIMIT,AXLE_WEIGHT_LIMIT,722.1,206.5,640,640,,
