Class Name,Original Class ID,New Class ID,Number of Images,Train,Val,Verification Issues
NO_ENTRY,126,0,12,11,1,0
NO_LEFT_TURN,127,1,12,9,3,0
NO_RIGHT_TURN,129,2,12,11,1,0
NO_U_TURN,131,3,12,9,3,0
NO_PARKING,128,4,12,9,3,0
M_STOP,117,5,12,11,1,0
P_SPEED_LIMIT_20_KM_H,160,6,12,12,0,0
P_SPEED_LIMIT_50_KM_H,161,7,12,8,4,0
W_PEDESTRIAN_CROSSING,202,8,15,12,3,0
I_ONE_WAY_TRAFFIC,63,9,12,11,1,0
M_YIELD_GIVE_WAY,125,10,12,11,1,0
M_PRIORITY_ROAD,114,11,12,10,2,0
W_ROUNDABOUT_AHEAD,211,12,12,10,2,0
M_KEEP_RIGHT,108,13,12,11,1,0
P_NO_MOTORCYCLES,147,14,12,10,2,0
P_NO_OVERTAKING,150,15,12,10,2,0
W_SHARP_CURVE_TO_THE_LEFT,213,16,12,10,2,0
W_END_ROAD_WORKS,189,17,12,8,4,0
I_HOSPITAL,52,18,12,11,1,0
I_BUILT_UP_AREA_BEGINS,14,19,12,11,1,0
